id,product_code,판매 URL,품절 여부
126,9261480,https://www.reebonz.co.kr/events/28635/products/9261480/section/w-event_group-pl-1/28,
127,9262187,https://www.reebonz.co.kr/events/28635/products/9262187/section/w-event_group-pl-1/19,
128,9274447,https://www.reebonz.co.kr/events/28635/products/9274447/section/w-event_group-pl-1/6,
129,8065569,https://www.reebonz.co.kr/products/8065569/section/w-pmi_brand-direct_buy-1/37,
130,9253204,https://www.reebonz.co.kr/events/28635/products/9253204/section/w-event_group-pl-4/8,
131,9288329,https://www.reebonz.co.kr/events/28635/products/9288329/section/w-event_group-pl-4/5,
132,9292817,https://www.reebonz.co.kr/events/28635/products/9292817/section/w-event_group-pl-2/17,
133,9293047,https://www.reebonz.co.kr/events/28635/products/9293047/section/w-event_group-pl-2/12,
134,9295731,https://www.reebonz.co.kr/events/28635/products/9295731/section/w-event_group-pl-2/6,
135,9298774,https://www.reebonz.co.kr/events/28635/products/9298774/section/w-event_group-pl-1/43,
136,9597800,https://www.reebonz.co.kr/events/28635/products/9597800/section/w-event_group-pl-1/22,
137,9653641,https://www.reebonz.co.kr/events/28635/products/9653641/section/w-event_group-pl-1/12,
138,9653433,https://www.reebonz.co.kr/events/28635/products/9653433/section/w-event_group-pl-1/11,
139,9653388,https://www.reebonz.co.kr/events/28635/products/9653388/section/w-event_group-pl-1/5,
140,9653271,https://www.reebonz.co.kr/events/28635/products/9653271/section/w-event_group-pl-1/4,
141,7276374,https://www.reebonz.co.kr/products/7276374/section/w-pmi_categories-direct_buy-1/9 ,
142,2589584,https://www.reebonz.co.kr/products/2589584/section/w-pmi_categories-direct_buy-1/23 ,
143,6144211,https://www.reebonz.co.kr/products/6144211/section/w-pmi_categories-direct_buy-1/11 ,
144,8750067,https://www.reebonz.co.kr/products/8750067/section/w-pmi_categories-direct_buy-1/27 ,
145,2648280,https://www.reebonz.co.kr/products/2648280/section/w-pmi_categories-direct_buy-1/9 ,
146,2647988,https://www.reebonz.co.kr/products/2647988/section/w-pmi_categories-direct_buy-1/14 ,
147,9687923,https://www.reebonz.co.kr/events/28635/products/9687923/section/w-event_group-pl-2/4,
148,3327032,https://www.reebonz.co.kr/products/3327032/section/w-pmi_search_result-direct_buy-1/1,
149,5901433,https://www.reebonz.co.kr/products/5901433/section/w-pmi_brand-direct_buy-1/9,
150,6059048,https://www.reebonz.co.kr/products/6059048/section/w-pmi_brand-direct_buy-1/4,
