상품번호,상품명_기본,자체상품코드,카테고리 코드,이미지 저장소,이미지 경로,페이스북 광고 제품 피드 이미지명
1000002650,미우 미우 블랙 보스턴 투웨이 토트백,9594746,"003002003
003
003002
003002002",url,20/07/30/1000002650/,https://koodonkr.hgodo.com/reebonz_facebook_img/9594746.jpg
1000002651,펜디 옐로우 몬트레조 버킷백,9591949,"003002003
003
003002
003002002
003002005",url,20/07/30/1000002651/,https://koodonkr.hgodo.com/reebonz_facebook_img/9591949_thum.jpg
1000002652,생로랑 페이던트 모노그램 로고 클러치,9594477,"003002004
003
003002",url,20/07/30/1000002652/,https://koodonkr.hgodo.com/reebonz_facebook_img/9594477.jpg
1000002653,지방시 블루 판도라 체인지갑,9594417,"007001
003
003002
003002005
007",url,20/07/30/1000002653/,https://koodonkr.hgodo.com/reebonz_facebook_img/9594417.jpg
1000002655,에르메스 그레이 후루토 토트백,9474093,"003002003
003
003002",url,20/07/30/1000002655/,https://koodonkr.hgodo.com/reebonz_facebook_img/9474093.jpg
1000002656,발렌티노 블랙 미니 크로스백,9534781,"003002005
003
003002",url,20/07/30/1000002656/,https://koodonkr.hgodo.com/reebonz_facebook_img/9534781.jpg
1000002657,루이비통 블랙 뉴웨이브 크로스백 (M51683),9505102,"003002005
003
003002",url,20/07/30/1000002657/,https://koodonkr.hgodo.com/reebonz_facebook_img/9505102.jpg
1000002658,샤넬 블랙 페이던트 빈티지 2.55 숄더백,9505378,"003002002
003
003002",url,20/07/30/1000002658/,https://koodonkr.hgodo.com/reebonz_facebook_img/9505378.jpg
1000002659,루이비통 페이던트 베르니 알마 BB 토트백,9504675,"003002003
003
003002
003002002",url,20/07/30/1000002659/,https://koodonkr.hgodo.com/reebonz_facebook_img/9504675.jpg
1000002660,샤넬 실버 미니 지퍼 크로스백,9504685,"003002005
003
003002
003002002",url,20/07/30/1000002660/,https://koodonkr.hgodo.com/reebonz_facebook_img/9504685.jpg
1000002661,루이비통 브라운 오스트리치 마제스티 토트백 (N91286),9505301,"003002003
003
003002",url,20/07/30/1000002661/,https://koodonkr.hgodo.com/reebonz_facebook_img/9505301.jpg
1000002662,샤넬 화이트 진주 목걸이,9504687,"004002
004",url,20/07/30/1000002662/,https://koodonkr.hgodo.com/reebonz_facebook_img/9504687.jpg
1000002663,에르메스 패브릭 가든 파티 36 토트백,9534922,"003002003
003
003002",url,20/07/30/1000002663/,https://koodonkr.hgodo.com/reebonz_facebook_img/9534922.jpg
1000002664,까르띠에 롱드 솔로 드 라지 750 시계,9530805,"005001
005",url,20/07/30/1000002664/,https://koodonkr.hgodo.com/reebonz_facebook_img/9530805.jpg
1000002665,까르띠에 탱크 솔로 XL 시계,9530882,"005001
005",url,20/07/30/1000002665/,https://koodonkr.hgodo.com/reebonz_facebook_img/9530882__thum.jpg
1000002666,샤넬 캐비어 그랜드샤핑 숄더백,20200015,"003002002
003
003002",url,20/07/31/1000002666/,https://koodonkr.hgodo.com/uploads/product_meta_info/2/02/20200015/20200015_R_f.jpg
1000002668,에르메스 그린 장지갑,9538065,"007001
007",url,20/07/31/1000002668/,https://koodonkr.hgodo.com/reebonz_facebook_img/9538065.jpg
1000002669,지방시 블랙 안티고나 토트백,9536946,"003002003
003
003002
003002002",url,20/07/31/1000002669/,https://koodonkr.hgodo.com/reebonz_facebook_img/9536946.jpg
1000002670,에르메스 그레이 벌킨 에도프 30 토트백,9530403,"003002003
003
003002",url,20/07/31/1000002670/,https://koodonkr.hgodo.com/reebonz_facebook_img/9530403.jpg
1000002671,샤넬 네이비 삭스 스니커즈,9537990,"003003001
003
003003",url,20/07/31/1000002671/,https://koodonkr.hgodo.com/reebonz_facebook_img/9537990.jpg
1000002672,구찌 블랙 가죽 로퍼,9596832,"003003008
003
003003",url,20/07/31/1000002672/,https://koodonkr.hgodo.com/reebonz_facebook_img/9596832.jpg
1000002673,루이비통 다미에 네버풀 MM,20200016,"003002002
003
003002
003002003",url,20/07/31/1000002673/,https://koodonkr.hgodo.com/uploads/product_meta_info/2/02/20200016/f.jpg
1000002674,루이비통 토탈리 MM,20200017,"003002002
003
003002
003002003",url,20/07/31/1000002674/,https://koodonkr.hgodo.com/uploads/product_meta_info/2/02/20200017/f.jpg
1000002675,생로랑 삭 드쥬르 스몰 토트백,20300029,"003002003
003
003002
003002002",url,20/07/31/1000002675/,https://koodonkr.hgodo.com/uploads/product_meta_info/2/03/20300029/f.jpg
1000002676,발렌시아가 카메라백,20500011,"003002005
003
003002",url,20/07/31/1000002676/,https://koodonkr.hgodo.com/uploads/product_meta_info/2/05/20500011/__f.jpg
1000002677,까르띠에 발롱블루 스틸 시계 (36mm),80100007,"005001
005",url,20/07/31/1000002677/,https://koodonkr.hgodo.com/uploads/product_meta_info/8/01/80100007/f.jpg
1000002678,까르띠에 팬더 드 미디움 스틸 시계,9530774,"005002
005",url,20/07/31/1000002678/,https://koodonkr.hgodo.com/reebonz_facebook_img/9530774.jpg
1000002679,불가리 블랙 18K 750 오벌 시계,9530290,"005002
005",url,20/07/31/1000002679/,https://koodonkr.hgodo.com/reebonz_facebook_img/9530290.jpg
